"masterid","stationid","latitude","longitude","huc","county","smcshed","smc_lu","probabilistic","objectid","sampleid","sampledate","samplemonth","sampleday","sampleyear","collectionmethodcode","fieldreplicate","databasecode","count","number_of_mmi_iterations","number_of_oe_iterations","pcnt_ambiguous_individuals","pcnt_ambiguous_taxa","e","mean_o","oovere","oovere_percentile","mmi","mmi_percentile","csci","csci_percentile","scoredate","scorenotes","cleaned","rand","processed_by","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_email","login_agency","login_owner","login_year","login_project","Year","MasterYear"
"801M16973","801M16973",33.93481,-117.34516,801,"Riverside","Middle Santa Ana","Urban","true",4481,"801M16973_06062018_BMI_RWB_1",2018-06-06 00:00:00,6,6,2018,"BMI_RWB",1,NA,635,20,20,1.73228346,9.75609756,6.97142823,6.1,0.87500004,0.26,0.55056077,0.01,0.71278041,0.04,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"801M16973_2018"
"801M16973","801M16973",33.93481,-117.34516,801,"Riverside","Middle Santa Ana","Urban","true",4482,"801M16973_06062018_BMI_RWB_2",2018-06-06 00:00:00,6,6,2018,"BMI_RWB",2,NA,651,20,20,0.30721966,5.26315789,6.97142823,5.55,0.7961066,0.14,0.52117175,0,0.65863917,0.02,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"801M16973_2018"
"SMC06216","SMC06216",34.27407,-118.31518,412,"Los Angeles","Los Angeles","Agricultural","true",6102,"SMC06216_05262009_BMI_RWB_1",2009-05-26 00:00:00,5,26,2009,"BMI_RWB",1,NA,617,20,20,0.81037277,7.31707317,7.8560603,7.65,0.97377053,0.45,0.70452052,0.05,0.83914552,0.16,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,"SMC06216_2009"
"SMC06216","SMC06216",34.27407,-118.31518,412,"Los Angeles","Los Angeles","Agricultural","true",6103,"SMC06216_06032014_BMI_RWB_1",2014-06-03 00:00:00,6,3,2014,"BMI_RWB",1,NA,611,20,20,0.32733224,4.25531915,7.8560603,7.95,1.01195761,0.53,0.75381748,0.08,0.88288755,0.23,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"SMC06216_2014"
"SMC21382","SMC21382",34.40663,-118.6694,403,"Los Angeles","Santa Clara","Agricultural","true",6220,"SMC21382_06132013_BMI_RWB_1",2013-06-13 00:00:00,6,13,2013,"BMI_RWB",1,NA,619,20,20,0.48465267,2.77777778,7.77150002,7.95,1.02296854,0.55,0.710404,0.05,0.86668627,0.2,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"SMC21382_2013"
"SMC20092","SMC20092",34.4141,-118.65608,403,"Los Angeles","Santa Clara","Agricultural","true",6216,"SMC20092_06132013_BMI_RWB_1",2013-06-13 00:00:00,6,13,2013,"BMI_RWB",1,NA,636,20,20,1.72955975,6.06060606,7.76706893,7.95,1.02355214,0.55,0.68123669,0.04,0.85239441,0.18,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"SMC20092_2013"
"SMC17692","SMC17692",34.41887,-118.63264,403,"Los Angeles","Santa Clara","Agricultural","true",6201,"SMC17692_06122013_BMI_RWB_1",2013-06-12 00:00:00,6,12,2013,"BMI_RWB",1,NA,596,20,20,0.16778523,3.22580645,7.75544464,7.75,0.99929796,0.5,0.61540722,0.02,0.80735259,0.11,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"SMC17692_2013"
"SMC17692","SMC17692",34.41887,-118.63264,403,"Los Angeles","Santa Clara","Agricultural","true",6202,"SMC17692_06122013_BMI_RWB_2",2013-06-12 00:00:00,6,12,2013,"BMI_RWB",2,NA,603,20,20,0,0,7.75544464,7,0.9025917,0.3,0.64988796,0.03,0.77623983,0.08,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"SMC17692_2013"
"SMC04956","SMC04956",34.42708,-118.57409,403,"Los Angeles","Santa Clara","Agricultural","true",6065,"SMC04956_06232011_BMI_RWB_1",2011-06-23 00:00:00,6,23,2011,"BMI_RWB",1,NA,539,20,20,1.48423006,8.57142857,7.69908892,7.75,1.00661261,0.51,0.63553014,0.02,0.82107137,0.13,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"SMC04956_2011"
"412S04204","SMC04204",34.20358,-118.01853,412,"Los Angeles","Los Angeles","Open","true",6038,"SMC04204_07112012_BMI_RWB_1",2012-07-11 00:00:00,7,11,2012,"BMI_RWB",1,NA,582,20,20,0.17182131,2.56410256,6.57979223,7.9,1.20064581,0.85,0.7258856,0.06,0.96326571,0.41,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"412S04204_2012"
"SMC01196","SMC01196",34.27835,-118.02952,412,"Los Angeles","Los Angeles","Open","true",5870,"SMC01196_07142010_BMI_RWB_1",2010-07-14 00:00:00,7,14,2010,"BMI_RWB",1,NA,589,20,20,4.24448217,3.7037037,7.06628035,6,0.84910302,0.21,0.69643069,0.05,0.77276685,0.08,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"SMC01196_2010"
"SMC06044","SMC06044",34.21452,-118.17413,412,"Los Angeles","Los Angeles","Open","true",6098,"SMC06044_06172013_BMI_RWB_1",2013-06-17 00:00:00,6,17,2013,"BMI_RWB",1,NA,614,20,20,0.3257329,5.55555556,8.29111349,9.3,1.12168287,0.74,1.03498922,0.58,1.07833605,0.69,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"SMC06044_2013"
"SMC00924","SMC00924",34.22394,-118.18053,412,"Los Angeles","Los Angeles","Open","true",5837,"SMC00924_05242017_BMI_RWB_1",2017-05-24 00:00:00,5,24,2017,"BMI_RWB",1,NA,599,20,20,0,0,10.51275815,9.55,0.90842002,0.32,0.9201868,0.33,0.91430341,0.3,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,"SMC00924_2017"
"SMC00924","SMC00924",34.22394,-118.18053,412,"Los Angeles","Los Angeles","Open","true",5838,"SMC00924_06082016_BMI_RWB_1",2016-06-08 00:00:00,6,8,2016,"BMI_RWB",1,NA,591,20,20,1.18443316,6.25,10.51275815,11.6,1.10342118,0.71,0.87618779,0.24,0.98980449,0.47,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"SMC00924_2016"
"SMC00924","SMC00924",34.22394,-118.18053,412,"Los Angeles","Los Angeles","Open","true",5839,"SMC00924_06092009_BMI_RWB_1",2009-06-09 00:00:00,6,9,2009,"BMI_RWB",1,NA,604,20,20,1.1589404,3.77358491,10.51275815,13.6,1.29366621,0.94,1.31724156,0.96,1.30545388,0.97,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,"SMC00924_2009"
"SMC00924","SMC00924",34.22394,-118.18053,412,"Los Angeles","Los Angeles","Open","true",5840,"SMC00924_06122012_BMI_RWB_1",2012-06-12 00:00:00,6,12,2012,"BMI_RWB",1,NA,617,20,20,0.16207455,4.16666667,10.51275815,8.2,0.78000463,0.12,0.83605345,0.18,0.80802904,0.12,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"SMC00924_2012"
"SMC00924","SMC00924",34.22394,-118.18053,412,"Los Angeles","Los Angeles","Open","true",5841,"SMC00924_06202011_BMI_RWB_1",2011-06-20 00:00:00,6,20,2011,"BMI_RWB",1,NA,578,20,20,0,0,10.51275815,8.55,0.81329751,0.16,0.60264763,0.01,0.70797257,0.03,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"SMC00924_2011"
"SMC00924","SMC00924",34.22394,-118.18053,412,"Los Angeles","Los Angeles","Open","true",5842,"SMC00924_06252014_BMI_RWB_1",2014-06-25 00:00:00,6,25,2014,"BMI_RWB",1,NA,585,20,20,2.39316239,9.52380952,10.51275815,13,1.2365927,0.89,0.99927307,0.5,1.11793289,0.77,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"SMC00924_2014"
"SMC00924","SMC00924",34.22394,-118.18053,412,"Los Angeles","Los Angeles","Open","true",5843,"SMC00924_07292010_BMI_RWB_1",2010-07-29 00:00:00,7,29,2010,"BMI_RWB",1,NA,604,20,20,0.49668874,8.69565217,10.51275815,8.1,0.77049238,0.11,0.52255395,0,0.64652317,0.01,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"SMC00924_2010"
"SMC05020","SMC05020",34.23202,-118.17657,412,"Los Angeles","Los Angeles","Open","true",6068,"SMC05020_07152013_BMI_RWB_1",2013-07-15 00:00:00,7,15,2013,"BMI_RWB",1,NA,609,20,20,1.80623974,15.38461538,10.43033892,10.35,0.99229757,0.48,0.84674561,0.2,0.91952159,0.31,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"SMC05020_2013"
"SMC02092","SMC02092",34.27948,-118.20684,412,"Los Angeles","Los Angeles","Open","true",5949,"SMC02092_06142011_BMI_RWB_1",2011-06-14 00:00:00,6,14,2011,"BMI_RWB",1,NA,621,20,20,0.1610306,2.56410256,7.70183753,7.85,1.01923729,0.54,0.66189782,0.03,0.84056756,0.16,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"SMC02092_2011"
"SMC02092","SMC02092",34.27948,-118.20684,412,"Los Angeles","Los Angeles","Open","true",5950,"SMC02092_06182018_BMI_RWB_1",2018-06-18 00:00:00,6,18,2018,"BMI_RWB",1,NA,575,20,20,1.56521739,3.50877193,7.70183753,9.85,1.27891558,0.93,0.75326017,0.08,1.01608787,0.54,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"SMC02092_2018"
"SMC05640","SMC05640",34.28233,-118.22203,412,"Los Angeles","Los Angeles","Open","true",6085,"SMC05640_06172013_BMI_RWB_1",2013-06-17 00:00:00,6,17,2013,"BMI_RWB",1,NA,593,20,20,8.9376054,14.0625,7.77173544,6.95,0.89426616,0.29,0.82004983,0.16,0.85715799,0.19,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,"SMC05640_2013"
"SMC01096","SMC01096",34.28465,-118.29343,412,"Los Angeles","Los Angeles","Open","true",5855,"SMC01096_06072010_BMI_RWB_1",2010-06-07 00:00:00,6,7,2010,"BMI_RWB",1,NA,598,20,20,3.01003344,13.63636364,7.86102568,5.5,0.69965425,0.06,0.46783992,0,0.58374708,0,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"SMC01096_2010"
"SMC01096","SMC01096",34.28465,-118.29343,412,"Los Angeles","Los Angeles","Open","true",5856,"SMC01096_06142016_BMI_RWB_1",2016-06-14 00:00:00,6,14,2016,"BMI_RWB",1,NA,571,20,20,2.27670753,10.86956522,7.86102568,6.65,0.84594559,0.21,0.67925694,0.04,0.76260127,0.07,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"SMC01096_2016"
"404S11406","404S11406",34.04939,-118.69,404,"Los Angeles","Santa Monica Bay","Open","true",2064,"404S11406_05112009_BMI_RWB_1",2009-05-11 00:00:00,5,11,2009,"BMI_RWB",1,NA,592,20,20,0,0,7.700269,5.55,0.72075404,0.07,0.53729814,0,0.62902609,0.01,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SWAMP",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,"404S11406_2009"
"404S11880","404S11880",34.12529,-118.70827,404,"Los Angeles","Santa Monica Bay","Urban","true",2065,"404S11880_06072011_BMI_RWB_1",2011-06-07 00:00:00,6,7,2011,"BMI_RWB",1,NA,581,20,20,0.17211704,4,8.86352582,6.9,0.77847125,0.12,0.59700165,0.01,0.68773645,0.03,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SWAMP",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"404S11880_2011"
"404S11880","404S11880",34.12529,-118.70827,404,"Los Angeles","Santa Monica Bay","Urban","true",2066,"404S11880_06072011_BMI_RWB_2",2011-06-07 00:00:00,6,7,2011,"BMI_RWB",2,NA,594,20,20,0,0,8.86352582,8,0.90257536,0.3,0.64459028,0.02,0.77358282,0.08,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SWAMP",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"404S11880_2011"
"404S14952","404S14952",34.14268,-118.70089,404,"Los Angeles","Santa Monica Bay","Urban","true",2070,"404S14952_06152011_BMI_RWB_MCM_1",2011-06-15 00:00:00,6,15,2011,"BMI_RWB_MCM",1,NA,596,20,20,0.16778523,5,10.45944921,5.7,0.54496177,0.01,0.45783839,0,0.50140008,0,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SWAMP",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"404S14952_2011"
"404S16168","404S16168",34.06765,-118.70704,404,"Los Angeles","Santa Monica Bay","Open","true",2071,"404S16168_06232010_BMI_RWB_1",2010-06-23 00:00:00,6,23,2010,"BMI_RWB",1,NA,600,20,20,0,0,7.74803268,4.95,0.63887185,0.03,0.56673392,0.01,0.60280289,0.01,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SWAMP",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"404S16168_2010"
"SMC00520","SMC00520",34.29626,-118.28252,412,"Los Angeles","Los Angeles","Open","true",5788,"SMC00520_05192009_BMI_RWB_1",2009-05-19 00:00:00,5,19,2009,"BMI_RWB",1,NA,554,20,20,0.18050542,2.7027027,7.85707055,10,1.27273899,0.92,0.73154241,0.07,1.0021407,0.51,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,"SMC00520_2009"
"SMC00520","SMC00520",34.29626,-118.28252,412,"Los Angeles","Los Angeles","Open","true",5789,"SMC00520_06122012_BMI_RWB_1",2012-06-12 00:00:00,6,12,2012,"BMI_RWB",1,NA,558,20,20,1.61290323,10.41666667,7.85707055,7.7,0.98000902,0.46,0.88754656,0.27,0.93377779,0.34,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"SMC00520_2012"
"SMC00520","SMC00520",34.29626,-118.28252,412,"Los Angeles","Los Angeles","Open","true",5790,"SMC00520_06142016_BMI_RWB_1",2016-06-14 00:00:00,6,14,2016,"BMI_RWB",1,NA,593,20,20,1.34907251,2.22222222,7.85707055,8.4,1.06910075,0.64,0.76935996,0.1,0.91923035,0.31,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"SMC00520_2016"
"SMC00520","SMC00520",34.29626,-118.28252,412,"Los Angeles","Los Angeles","Open","true",5791,"SMC00520_06142017_BMI_RWB_1",2017-06-14 00:00:00,6,14,2017,"BMI_RWB",1,NA,597,20,20,0,0,7.85707055,6.95,0.8845536,0.27,0.67421387,0.03,0.77938373,0.08,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,"SMC00520_2017"
"SMC00520","SMC00520",34.29626,-118.28252,412,"Los Angeles","Los Angeles","Open","true",5792,"SMC00520_06252014_BMI_RWB_1",2014-06-25 00:00:00,6,25,2014,"BMI_RWB",1,NA,606,20,20,3.30033003,5.55555556,7.85707055,7.5,0.95455424,0.41,0.74450296,0.08,0.8495286,0.17,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"SMC00520_2014"
"SMC00520","SMC00520",34.29626,-118.28252,412,"Los Angeles","Los Angeles","Open","true",5793,"SMC00520_07082010_BMI_RWB_1",2010-07-08 00:00:00,7,8,2010,"BMI_RWB",1,NA,370,1,1,0.81081081,13.63636364,7.85707055,6,0.76364339,0.11,0.66294334,0.03,0.71329337,0.04,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"SMC00520_2010"
"SMC00520","SMC00520",34.29626,-118.28252,412,"Los Angeles","Los Angeles","Open","true",5794,"SMC00520_08052011_BMI_RWB_1",2011-08-05 00:00:00,8,5,2011,"BMI_RWB",1,NA,598,20,20,0,0,7.85707055,6.55,0.83364404,0.19,0.65579119,0.03,0.74471761,0.06,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"SMC00520_2011"
"SMC00520","SMC00520",34.29626,-118.28252,412,"Los Angeles","Los Angeles","Open","true",5795,"SMC00520_08262015_BMI_RWB_1",2015-08-26 00:00:00,8,26,2015,"BMI_RWB",1,NA,624,20,20,6.41025641,6.89655172,7.85707055,7.9,1.0054638,0.51,0.75956459,0.09,0.88251419,0.23,2020-02-20 07:13:57,"Distinct set to NA","Yes",2,"machine","SMC",2020-02-20 07:13:57,"true","{00000000-0000-0000-0000-000000000000}",NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,"SMC00520_2015"
