"","analytename","SiteYear","stationcode","objectid","sampledate","sampletypecode","matrixname","fieldreplicate","labreplicate","methodname","fractionname","unit","result","resqualcode","mdl","rl","dilutionfactor","qacode","labresultcomments","labagencycode","projectcode","record_origin","origin_lastupdatedate","record_publish","originalid","masterid","huc","smcshed","smc_lu","latitude","longitude","probabilistic","SiteDate","Year","OCresult","OrgNorm","RLOC","Class","TEB","LEB","Assessment","RLOC_Eval","TEBq","LEBq","AssessNumeric"
"217","Cyfluthrin","403S01136_2011","403S01136",98537,2011-06-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000324,0.000648,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01136",403,"Santa Clara","Open",34.62762,-118.74403,"true","403S01136_2011-06-13",2011,0.0093,0,0.07,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"280","Cypermethrin","403S01136_2011","403S01136",61542,2011-06-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000486,0.00097,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01136",403,"Santa Clara","Open",34.62762,-118.74403,"true","403S01136_2011-06-13",2011,0.0093,0,0.104,"PYR",0.049,0.49,"Possible or Unlikely","Poor RL",0,0,4
"384","Deltamethrin","403S01136_2011","403S01136",98538,2011-06-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000324,0.000648,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01136",403,"Santa Clara","Open",34.62762,-118.74403,"true","403S01136_2011-06-13",2011,0.0093,0,0.07,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"488","Esfenvalerate","403S01136_2011","403S01136",61543,2011-06-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000324,0.000648,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01136",403,"Santa Clara","Open",34.62762,-118.74403,"true","403S01136_2011-06-13",2011,0.0093,0,0.07,"PYR",0.055,0.55,"Possible or Unlikely","Poor RL",0,0,4
"621","Fenpropathrin","403S01136_2011","403S01136",98539,2011-06-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.0013,0.00259,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01136",403,"Santa Clara","Open",34.62762,-118.74403,"true","403S01136_2011-06-13",2011,0.0093,0,0.28,"PYR",0.11,1.1,"Possible or Unlikely","Poor RL",0,0,4
"81","Bifenthrin","403S01136_2011","403S01136",61540,2011-06-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000405,0.00081,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01136",403,"Santa Clara","Open",34.62762,-118.74403,"true","403S01136_2011-06-13",2011,0.0093,0,0.09,"PYR",0.17,0.6,"Unlikely_ND","GoodRL",0,0,6
"281","Cypermethrin","403S01536_2011","403S01536",98671,2011-07-12,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000421,0.000843,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01536",403,"Santa Clara","Open",34.56909,-118.39212,"true","403S01536_2011-07-12",2011,0.0124,0,0.068,"PYR",0.049,0.49,"Possible or Unlikely","Poor RL",0,0,4
"385","Deltamethrin","403S01536_2011","403S01536",61671,2011-07-12,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000281,0.000562,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01536",403,"Santa Clara","Open",34.56909,-118.39212,"true","403S01536_2011-07-12",2011,0.0124,0,0.05,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"622","Fenpropathrin","403S01536_2011","403S01536",98672,2011-07-12,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00112,0.00225,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01536",403,"Santa Clara","Open",34.56909,-118.39212,"true","403S01536_2011-07-12",2011,0.0124,0,0.18,"PYR",0.11,1.1,"Possible or Unlikely","Poor RL",0,0,4
"82","Bifenthrin","403S01536_2011","403S01536",98670,2011-07-12,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000351,0.000702,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01536",403,"Santa Clara","Open",34.56909,-118.39212,"true","403S01536_2011-07-12",2011,0.0124,0,0.06,"PYR",0.17,0.6,"Unlikely_ND","GoodRL",0,0,6
"218","Cyfluthrin","403S01536_2011","403S01536",61669,2011-07-12,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000281,0.000562,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01536",403,"Santa Clara","Open",34.56909,-118.39212,"true","403S01536_2011-07-12",2011,0.0124,0,0.045,"PYR",0.046,0.46,"Unlikely_ND","GoodRL",0,0,6
"479","Esfenvalerate","403S01536_2011","403S01536",61672,2011-07-12,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000281,0.000562,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01536",403,"Santa Clara","Open",34.56909,-118.39212,"true","403S01536_2011-07-12",2011,0.0124,0,0.045,"PYR",0.055,0.55,"Unlikely_ND","GoodRL",0,0,6
"768","Permethrin","403S01536_2011","403S01536",98673,2011-07-12,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000983,0.00197,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01536",403,"Santa Clara","Open",34.56909,-118.39212,"true","403S01536_2011-07-12",2011,0.0124,0,0.16,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"219","Cyfluthrin","403S01728_2011","403S01728",61751,2011-07-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000312,0.000623,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01728",403,"Santa Clara","Open",34.5749,-118.46002,"true","403S01728_2011-07-13",2011,0.0086,0,0.072,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"282","Cypermethrin","403S01728_2011","403S01728",61753,2011-07-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000467,0.000935,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01728",403,"Santa Clara","Open",34.5749,-118.46002,"true","403S01728_2011-07-13",2011,0.0086,0,0.109,"PYR",0.049,0.49,"Possible or Unlikely","Poor RL",0,0,4
"376","Deltamethrin","403S01728_2011","403S01728",61754,2011-07-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000312,0.000623,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01728",403,"Santa Clara","Open",34.5749,-118.46002,"true","403S01728_2011-07-13",2011,0.0086,0,0.07,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"477","Esfenvalerate","403S01728_2011","403S01728",98747,2011-07-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000312,0.000623,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01728",403,"Santa Clara","Open",34.5749,-118.46002,"true","403S01728_2011-07-13",2011,0.0086,0,0.072,"PYR",0.055,0.55,"Possible or Unlikely","Poor RL",0,0,4
"623","Fenpropathrin","403S01728_2011","403S01728",98748,2011-07-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00125,0.00249,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01728",403,"Santa Clara","Open",34.5749,-118.46002,"true","403S01728_2011-07-13",2011,0.0086,0,0.29,"PYR",0.11,1.1,"Possible or Unlikely","Poor RL",0,0,4
"83","Bifenthrin","403S01728_2011","403S01728",98746,2011-07-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00039,0.000779,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01728",403,"Santa Clara","Open",34.5749,-118.46002,"true","403S01728_2011-07-13",2011,0.0086,0,0.09,"PYR",0.17,0.6,"Unlikely_ND","GoodRL",0,0,6
"769","Permethrin","403S01728_2011","403S01728",98749,2011-07-13,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00109,0.00218,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S01728",403,"Santa Clara","Open",34.5749,-118.46002,"true","403S01728_2011-07-13",2011,0.0086,0,0.25,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"377","Deltamethrin","403S02363_2011","403S02363",61861,2011-06-16,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.00337,"=",0.000262,0.000523,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S02363",403,"Santa Clara","Open",34.55885,-119.15456,"true","403S02363_2011-06-16",2011,0.0058,0.58,0.09,"PYR",0.02,0.2,"Likely","Poor RL",29,2.9,1
"220","Cyfluthrin","403S02363_2011","403S02363",98839,2011-06-16,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000262,0.000523,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S02363",403,"Santa Clara","Open",34.55885,-119.15456,"true","403S02363_2011-06-16",2011,0.0058,0,0.09,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"283","Cypermethrin","403S02363_2011","403S02363",61860,2011-06-16,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000393,0.000785,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S02363",403,"Santa Clara","Open",34.55885,-119.15456,"true","403S02363_2011-06-16",2011,0.0058,0,0.135,"PYR",0.049,0.49,"Possible or Unlikely","Poor RL",0,0,4
"481","Esfenvalerate","403S02363_2011","403S02363",61862,2011-06-16,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000262,0.000523,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S02363",403,"Santa Clara","Open",34.55885,-119.15456,"true","403S02363_2011-06-16",2011,0.0058,0,0.09,"PYR",0.055,0.55,"Possible or Unlikely","Poor RL",0,0,4
"624","Fenpropathrin","403S02363_2011","403S02363",98841,2011-06-16,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00105,0.00209,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S02363",403,"Santa Clara","Open",34.55885,-119.15456,"true","403S02363_2011-06-16",2011,0.0058,0,0.36,"PYR",0.11,1.1,"Possible or Unlikely","Poor RL",0,0,4
"84","Bifenthrin","403S02363_2011","403S02363",61859,2011-06-16,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000327,0.000654,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S02363",403,"Santa Clara","Open",34.55885,-119.15456,"true","403S02363_2011-06-16",2011,0.0058,0,0.11,"PYR",0.17,0.6,"Unlikely_ND","GoodRL",0,0,6
"770","Permethrin","403S02363_2011","403S02363",98842,2011-06-16,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00092,0.00183,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S02363",403,"Santa Clara","Open",34.55885,-119.15456,"true","403S02363_2011-06-16",2011,0.0058,0,0.32,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"221","Cyfluthrin","403S02764_2011","403S02764",98885,2011-06-14,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000281,0.000563,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S02764",403,"Santa Clara","Open",34.44778,-118.7549,"true","403S02764_2011-06-14",2011,0.0077,0,0.073,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"284","Cypermethrin","403S02764_2011","403S02764",61896,2011-06-14,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000422,0.000844,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S02764",403,"Santa Clara","Open",34.44778,-118.7549,"true","403S02764_2011-06-14",2011,0.0077,0,0.11,"PYR",0.049,0.49,"Possible or Unlikely","Poor RL",0,0,4
"378","Deltamethrin","403S02764_2011","403S02764",98886,2011-06-14,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000281,0.000563,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S02764",403,"Santa Clara","Open",34.44778,-118.7549,"true","403S02764_2011-06-14",2011,0.0077,0,0.07,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"478","Esfenvalerate","403S02764_2011","403S02764",98887,2011-06-14,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000281,0.000563,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S02764",403,"Santa Clara","Open",34.44778,-118.7549,"true","403S02764_2011-06-14",2011,0.0077,0,0.073,"PYR",0.055,0.55,"Possible or Unlikely","Poor RL",0,0,4
"625","Fenpropathrin","403S02764_2011","403S02764",61897,2011-06-14,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00113,0.00225,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S02764",403,"Santa Clara","Open",34.44778,-118.7549,"true","403S02764_2011-06-14",2011,0.0077,0,0.29,"PYR",0.11,1.1,"Possible or Unlikely","Poor RL",0,0,4
"85","Bifenthrin","403S02764_2011","403S02764",98884,2011-06-14,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000352,0.000703,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S02764",403,"Santa Clara","Open",34.44778,-118.7549,"true","403S02764_2011-06-14",2011,0.0077,0,0.09,"PYR",0.17,0.6,"Unlikely_ND","GoodRL",0,0,6
"771","Permethrin","403S02764_2011","403S02764",61899,2011-06-14,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000985,0.00197,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S02764",403,"Santa Clara","Open",34.44778,-118.7549,"true","403S02764_2011-06-14",2011,0.0077,0,0.26,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"222","Cyfluthrin","403S04868_2011","403S04868",62046,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00028,0.000559,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S04868",403,"Santa Clara","Agricultural",34.40491,-118.93943,"true","403S04868_2011-06-15",2011,0.0101,0,0.055,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"285","Cypermethrin","403S04868_2011","403S04868",62047,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000419,0.000839,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S04868",403,"Santa Clara","Agricultural",34.40491,-118.93943,"true","403S04868_2011-06-15",2011,0.0101,0,0.083,"PYR",0.049,0.49,"Possible or Unlikely","Poor RL",0,0,4
"379","Deltamethrin","403S04868_2011","403S04868",62048,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00028,0.000559,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S04868",403,"Santa Clara","Agricultural",34.40491,-118.93943,"true","403S04868_2011-06-15",2011,0.0101,0,0.06,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"626","Fenpropathrin","403S04868_2011","403S04868",99035,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00112,0.00224,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S04868",403,"Santa Clara","Agricultural",34.40491,-118.93943,"true","403S04868_2011-06-15",2011,0.0101,0,0.22,"PYR",0.11,1.1,"Possible or Unlikely","Poor RL",0,0,4
"86","Bifenthrin","403S04868_2011","403S04868",62045,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00035,0.000699,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S04868",403,"Santa Clara","Agricultural",34.40491,-118.93943,"true","403S04868_2011-06-15",2011,0.0101,0,0.07,"PYR",0.17,0.6,"Unlikely_ND","GoodRL",0,0,6
"493","Esfenvalerate","403S04868_2011","403S04868",62049,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00028,0.000559,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S04868",403,"Santa Clara","Agricultural",34.40491,-118.93943,"true","403S04868_2011-06-15",2011,0.0101,0,0.055,"PYR",0.055,0.55,"Unlikely_ND","GoodRL",0,0,6
"772","Permethrin","403S04868_2011","403S04868",62051,2011-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.00098,0.00196,1,"None",NA,"DFG-WPCL","RWB4_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"403S04868",403,"Santa Clara","Agricultural",34.40491,-118.93943,"true","403S04868_2011-06-15",2011,0.0101,0,0.19,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"223","Cyfluthrin","403S06139_2012","403S06139",99140,2012-06-27,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000175,0.00169,1,"None",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"403S06139",403,"Santa Clara","Open",34.55464,-119.2405,"true","403S06139_2012-06-27",2012,0.0155,0,0.109,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"286","Cypermethrin","403S06139_2012","403S06139",62139,2012-06-27,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000178,0.00169,1,"None",NA,"DFG-WPCL","RWB4_SMC_2012","SWAMP",2014-08-09 00:00:00,"true",NA,"403S06139",403,"Santa Clara","Open",34.55464,-119.2405,"true","403S06139_2012-06-27",2012,0.0155,0,0.109,"PYR",0.049,0.49,"Possible or Unlikely","Poor RL",0,0,4
