masterid,SiteYear,MeanSurvival,CtrlAdjSurvival,csci,e,mean_o,oovere,oovere_percentile,mmi,mmi_percentile,ASCI.hybrid,PyrethroidSum,PyrethroidSum_OrgNorm,Arsenic,Cadmium,Chromium,Copper,Lead,Mercury,Nickel,Zinc,mPECq,huc,smcshed,smc_lu,latitude,longitude,probabilistic
403S00772,403S00772_2009,NA,NA,0.99712188,8.41625474,9.45,1.12282723,0.74,0.87141653,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.40976,-118.93221,TRUE
403S00831,403S00831_2010,NA,NA,0.49735398,11.88484052,5.95,0.50063777,0,0.49407019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.43048,-118.8318,TRUE
403S00875,403S00875_2010,NA,NA,0.78752742,8.21887649,6.7,0.81519658,0.17,0.75985826,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.55668,-119.30629,TRUE
403S00960,403S00960_2008,NA,NA,1.18598186,6.49859697,7.9,1.21564701,0.87,1.15631671,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.59078,-118.4617,TRUE
403S00960,403S00960_2010,NA,NA,1.01182574,6.49859697,7.65,1.17717717,0.82,0.84647431,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.59078,-118.4617,TRUE
403S01136,403S01136_2011,NA,NA,1.03591758,7.81982564,8.8,1.12534478,0.74,0.94649038,0.38,NA,0.0162,1.74,7.12,0.18,29.2,31.2,16.2,NA,17.9,80.5,0.199231102,403,Santa Clara,Open,34.62762,-118.74403,TRUE
403S01163,403S01163_2009,NA,NA,1.11160387,7.73642126,9,1.16332858,0.8,1.05987916,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.69943,-118.86529,TRUE
403S01195,403S01195_2009,NA,NA,0.82832065,7.04380611,5.95,0.84471377,0.21,0.81192753,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.55903,-119.2678,TRUE
403S01272,403S01272_2009,NA,NA,0.9068472,7.82817481,7.85,1.00278803,0.51,0.81090638,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.40303,-118.6905,TRUE
403S01536,403S01536_2011,NA,NA,1.01024156,9.55487078,10.65,1.11461476,0.73,0.90586835,0.3,NA,0,0,16.4,0.03,79.2,39.4,13.6,NA,45.8,69.6,0.383029665,403,Santa Clara,Open,34.56909,-118.39212,TRUE
403S01707,403S01707_2010,NA,NA,0.72066732,7.08354328,5.7,0.80468203,0.15,0.6366526,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.59835,-119.34799,TRUE
403S01728,403S01728_2011,NA,NA,1.25857131,8.89677818,11.85,1.33194284,0.96,1.18519979,0.85,NA,0,0,1.82,0,30.1,20.9,14.2,NA,15.7,89,0.156353385,403,Santa Clara,Open,34.5749,-118.46002,TRUE
403S01784,403S01784_2009,NA,NA,0.71875825,7.82219333,5.85,0.74787208,0.09,0.68964442,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.40228,-118.7471,TRUE
403S01883,403S01883_2010,NA,NA,0.9977671,6.55383494,6.75,1.02993134,0.56,0.96560286,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.71629,-119.0189,TRUE
403S02139,403S02139_2012,NA,NA,1.10527823,8.23504583,9.55,1.15967782,0.8,1.05087864,0.61,0.97293851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.67160221,-119.0171968,TRUE
403S02363,403S02363_2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00337,0.58,3.94,0.09,15.8,11.3,12.1,NA,8.7,35.3,0.100871059,403,Santa Clara,Open,34.55885,-119.15456,TRUE
403S02764,403S02764_2011,NA,NA,0.83178895,7.82414066,7.7,0.98413364,0.47,0.67944427,0.04,NA,0,0,1.65,2.02,14.1,4.5,10.1,NA,8.1,19.6,0.128732186,403,Santa Clara,Open,34.44778,-118.7549,TRUE
403S03320,403S03320_2010,NA,NA,0.65892081,11.87341676,8.8,0.74115145,0.09,0.57669018,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.39996,-118.72346,TRUE
403S03643,403S03643_2010,NA,NA,1.01059794,10.80488547,10.65,0.98566524,0.47,1.03553065,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.56213,-119.12891,TRUE
403S03832,403S03832_2009,NA,NA,0.62737679,7.8792675,5.5,0.69803443,0.06,0.55671915,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.40211,-118.78471,TRUE
403S04868,403S04868_2011,NA,NA,1.00332255,7.92276198,7.75,0.97819422,0.45,1.02845087,0.56,NA,0,0,4.72,0.26,29.3,15.2,13.3,NA,14.2,43.4,0.150265317,403,Santa Clara,Agricultural,34.40491,-118.93943,TRUE
403S05247,403S05247_2010,NA,NA,0.8970799,7.86631481,7.65,0.97250113,0.44,0.82165867,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Agricultural,34.36931,-118.98739,TRUE
403S05291,403S05291_2010,NA,NA,1.12014835,7.06878008,9,1.27320413,0.92,0.96709257,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,Santa Clara,Open,34.56396,-119.26304,TRUE
403S06139,403S06139_2012,NA,NA,0.51029031,7.09847726,3,0.42262585,0,0.59795477,0.01,NA,0,0,3.68,0.1,11.7,12.2,16.3,NA,10.5,30.1,0.10397865,403,Santa Clara,Open,34.55464,-119.2405,TRUE
403S06283,403S06283_2012,NA,NA,1.18119325,7.7374619,9.2,1.18902039,0.84,1.17336612,0.83,NA,0.001896,0.12,13.6,0.08,31.3,24.3,16.6,NA,20.6,51.9,0.219983201,403,Santa Clara,Open,34.69386,-118.86079,TRUE
403S06315,403S06315_2012,NA,NA,0.918416,7.08674964,7.65,1.07947936,0.66,0.75735263,0.09,NA,0,0,5.79,0.72,23.6,22.7,17,NA,15.1,49.2,0.176528014,403,Santa Clara,Open,34.59223,-119.31033,TRUE
403S06660,403S06660_2012,NA,NA,0.95669621,8.41911215,7.6,0.90270801,0.3,1.0106844,0.52,NA,0,0,5.57,0.06,26.2,23.1,18.8,NA,18.6,47.6,0.172171488,403,Santa Clara,Agricultural,34.42963,-118.92373,TRUE
