"","analytename","SiteYear","stationcode","objectid","sampledate","sampletypecode","matrixname","fieldreplicate","labreplicate","methodname","fractionname","unit","result","resqualcode","mdl","rl","dilutionfactor","qacode","labresultcomments","labagencycode","projectcode","record_origin","origin_lastupdatedate","record_publish","originalid","masterid","huc","smcshed","county","smc_lu","latitude","longitude","probabilistic","SiteDate","Year","OCresult","OrgNorm","RLOC","Class","TEB","LEB","Assessment","RLOC_Eval","TEBq","LEBq","AssessNumeric"
"266","Cyfluthrin","SMC00766_2011","SMC00766",20100,2011-07-11,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",0.025,NA,0.0048,0.0048,1,"None","","WKL",NA,"SMC",2018-06-11 15:25:55,"true",NA,"SMC00766",801,"Lower Santa Ana","Orange","Urban",33.65718,-117.83739,"true","SMC00766_2011-07-11",2011,0.012,2.083,0.4,"PYR",0.046,0.46,"Likely","Poor RL",45.2826086956522,4.52826086956522,1
"146","Bifenthrin","SMC00686_2019","SMC00686",132087,2019-08-07,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",0.00603,"=",0.00022,5e-04,1,"None","","PEL",NA,"SMC",2020-04-29 09:23:22,"false",NA,"SMC00686",405,"San Gabriel","Los Angeles","Urban",34.0322,-117.83819,"true","SMC00686_2019-08-07",2019,0.0097,0.62,0.05,"PYR",0.17,0.6,"Likely","GoodRL",3.64705882352941,1.03333333333333,1
"508","Deltamethrin","SMC00544_2017","SMC00544",130983,2017-06-14,"grab","sediment",1,1,"EPA 8270C","Total","ug/g dw",-88,"ND",0.00029,0.00092,1,"None","","PEL",NA,"SMC",2020-04-29 09:23:22,"false",NA,"SMC00544",405,"San Gabriel","Los Angeles","Open",34.14677,-117.74153,"true","SMC00544_2017-06-14",2017,0.0275,0,0.03,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"507","Deltamethrin","SMC00464_2017","SMC00464",130806,2017-07-21,"grab","sediment",1,1,"EPA 8270C","Total","ug/g dw",-88,"ND",0.00029,0.00092,1,"None","","PEL",NA,"SMC",2020-04-29 09:23:22,"false",NA,"SMC00464",405,"San Gabriel","Los Angeles","Open",34.24152,-117.86683,"true","SMC00464_2017-07-21",2017,0.027,0,0.03,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"262","Cyfluthrin","SMC00428_2017","SMC00428",130668,2017-06-15,"grab","sediment",1,1,"EPA 8270C","Total","ug/g dw",-88,"ND",0.00025,8e-04,1,"None","","PEL",NA,"SMC",2020-04-29 09:23:22,"false",NA,"SMC00428",405,"San Gabriel","Los Angeles","Open",34.2481,-118.04976,"true","SMC00428_2017-06-15",2017,0.0167,0,0.048,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"142","Bifenthrin","SMC00288_2017","SMC00288",130508,2017-06-14,"grab","sediment",1,1,"EPA 8270C","Total","ug/g dw",0.0347,"=",0.00022,0.00071,1,"None","","PEL",NA,"SMC",2020-04-29 09:23:22,"false",NA,"SMC00288",405,"San Gabriel","Los Angeles","Urban",34.13118,-117.76,"true","SMC00288_2017-06-14",2017,0.0219,1.58,0.03,"PYR",0.17,0.6,"Likely","GoodRL",9.29411764705882,2.63333333333333,1
"260","Cyfluthrin","SMC00206_2019","SMC00206",127234,2019-06-04,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"SMC00206",901,"San Juan","Orange","Urban",33.54359,-117.65963,"true","SMC00206_2019-06-04",2019,9e-04,0,0.556,"PYR",0.046,0.46,"RL Too High","Tragic RL",0,0,2
"521","Deltamethrin","ME-CC_2018","ME-CC",125892,2018-06-28,"integrated","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",9e-04,9e-04,1,"DF","M-02, ""None"" 01/Jan/1950 00:00","WKL",NA,"SMC",2018-10-30 07:19:49,"true",NA,"ME-CC",408,"Calleguas","Ventura","Agricultural",34.17912,-119.03968,"true","ME-CC_2018-06-28",2018,0.0344,0,0.03,"PYR",0.02,0.2,"Possible or Unlikely","Poor RL",0,0,4
"523","Deltamethrin","909S14218_2012","909S14218",86774,2012-07-18,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.00405,"=",0.000592,0.00267,1,"IL",NA,"DFG-WPCL","RWB9_SMC_2012","SWAMP",2014-04-02 00:00:00,"true",NA,"909S14218",909,"Southern San Diego","San Diego","Urban",32.829985,-116.736039,"true","909S14218_2012-07-18",2012,0.0485,0.08,0.06,"PYR",0.02,0.2,"Possible","Poor RL",4,0.4,3
"768","Permethrin","907S11430_2012","907S11430",123783,2012-07-18,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.01223,"=",0.000688,0.00178,1,"None",NA,"DFG-WPCL","RWB9_SMC_2012","SWAMP",2014-04-02 00:00:00,"true",NA,"907S11430",907,"Mission Bay and San Diego River","San Diego","Urban",32.848374,-116.860048,"true","907S11430_2012-07-18",2012,0.0177,0.69,0.1,"PYR",0.42,9.3,"Possible","GoodRL",1.64285714285714,0.0741935483870968,3
"255","Cyfluthrin","907S05514_2011","907S05514",86583,2011-05-18,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000322,0.000644,1,"None",NA,"DFG-WPCL","RWB9_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"907S05514",907,"Mission Bay and San Diego River","San Diego","Open",32.97974,-116.74246,"true","907S05514_2011-05-18",2011,0.0094,0,0.069,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"294","Cyfluthrin","907M23385_2019","907M23385",129056,2019-06-25,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_San_Diego_River_WMA_2019","SMC",2020-01-17 20:27:23,"false",NA,"907M23385",907,"Mission Bay and San Diego River","San Diego","Urban",32.81067,-117.07466,"true","907M23385_2019-06-25",2019,0.0092,0,0.054,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"65","Bifenthrin","907M23342_2017","907M23342",49424,2017-06-13,"grab","sediment",1,1,"EPA 8270D_NCI","None","ug/g dw",-88,"ND",0.00022,0.00071,1,"None","","PEL",NA,"SMC",2018-06-11 15:23:11,"true",NA,"907M23342",907,"Mission Bay and San Diego River","San Diego","Open",32.99095,-116.59072,"true","907M23342_2017-06-13",2017,0.038,0,0.02,"PYR",0.17,0.6,"Unlikely_ND","GoodRL",0,0,6
"64","Bifenthrin","906S02902_2011","906S02902",123344,2011-08-03,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.0175,"=",0.000109,0.000434,1,"None",NA,"DFG-WPCL","RWB9_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"906S02902",906,"Central San Diego","San Diego","Urban",32.949075,-117.064432,"true","906S02902_2011-08-03",2011,0.0881,0.2,0,"PYR",0.17,0.6,"Possible","GoodRL",1.17647058823529,0.333333333333333,3
"481","Deltamethrin","905S15201_2012","905S15201",123229,2012-06-30,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000577,0.0026,1,"None",NA,"DFG-WPCL","RWB9_SMC_2012","SWAMP",2014-04-02 00:00:00,"true",NA,"905S15201",905,"Central San Diego","San Diego","Open",33.11778,-116.85444,"true","905S15201_2012-06-30",2012,0.0123,0,0.21,"PYR",0.02,0.2,"RL Too High","Tragic RL",0,0,2
"62","Bifenthrin","904S12185_2011","904S12185",85912,2011-05-24,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.00684,"=",0.000391,0.000783,1,"IL",NA,"DFG-WPCL","RWB9_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"904S12185",904,"Central San Diego","San Diego","Agricultural",33.09918,-117.13013,"true","904S12185_2011-05-24",2011,0.007,0.98,0.11,"PYR",0.17,0.6,"Likely","GoodRL",5.76470588235294,1.63333333333333,1
"61","Bifenthrin","904S08089_2010","904S08089",123023,2010-05-20,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000194,0.000388,1,"None",NA,"DFG-WPCL","RWB9_SMC_2010","SWAMP",2011-07-07 00:00:00,"true",NA,"904S08089",904,"Central San Diego","San Diego","Agricultural",33.08899,-117.13748,"true","904S08089_2010-05-20",2010,0.0532,0,0.01,"PYR",0.17,0.6,"Unlikely_ND","GoodRL",0,0,6
"60","Bifenthrin","904S02201_2010","904S02201",122867,2010-05-19,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.0399,"=",0.000439,0.000879,1,"None",NA,"DFG-WPCL","RWB9_SMC_2010","SWAMP",2011-07-07 00:00:00,"true",NA,"904S02201",904,"Central San Diego","San Diego","Urban",33.17979,-117.33735,"true","904S02201_2010-05-19",2010,0.0712,0.56,0.01,"PYR",0.17,0.6,"Possible","GoodRL",3.29411764705882,0.933333333333333,3
"59","Bifenthrin","904S01814_2010","904S01814",85683,2010-06-15,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000218,0.000436,1,"None",NA,"DFG-WPCL","RWB9_SMC_2010","SWAMP",2011-07-07 00:00:00,"true",NA,"904S01814",904,"Central San Diego","San Diego","Urban",33.02292,-117.2273,"true","904S01814_2010-06-15",2010,0.0215,0,0.02,"PYR",0.17,0.6,"Unlikely_ND","GoodRL",0,0,6
"58","Bifenthrin","904CBSAM5_2010","904S02585",122934,2010-05-19,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.0136,"=",0.000356,0.000712,1,"None",NA,"DFG-WPCL","RWB9_SMC_2010","SWAMP",2011-07-07 00:00:00,"true",NA,"904CBSAM5",904,"Central San Diego","San Diego","Urban",33.09086,-117.2447,"true","904CBSAM5_2010-05-19",2010,0.07,0.19,0.01,"PYR",0.17,0.6,"Possible","GoodRL",1.11764705882353,0.316666666666667,3
"285","Cyfluthrin","903S06113_2012","903S06113",85451,2012-06-30,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",2e-04,0.00194,1,"None",NA,"DFG-WPCL","RWB9_SMC_2012","SWAMP",2014-04-02 00:00:00,"true",NA,"903S06113",903,"Northern San Diego","San Diego","Open",33.2645,-116.8131,"true","903S06113_2012-06-30",2012,0.0231,0,0.084,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"284","Cyfluthrin","903S02145_2011","903S02145",122520,2011-08-03,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000163,0.00158,1,"None",NA,"DFG-WPCL","RWB9_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"903S02145",903,"Northern San Diego","San Diego","Agricultural",33.269344,-117.031468,"true","903S02145_2011-08-03",2011,0.0012,0,1.317,"PYR",0.046,0.46,"RL Too High","Tragic RL",0,0,2
"135","Bifenthrin","903M20280_2019","903M20280",129161,2019-07-01,"grab","sediment",1,1,"EPA 8270D_NCI","None","ug/g dw",0.00106,"=",0.00022,5e-04,1,"None","","PEL","SMC_San_Luis_Rey_River_WMA_2019","SMC",2020-01-17 20:44:43,"false",NA,"903M20280",903,"Northern San Diego","San Diego","Urban",33.29662,-117.21939,"true","903M20280_2019-07-01",2019,0.0661,0.02,0.01,"PYR",0.17,0.6,"Unlikely (<TEB)","GoodRL",0.117647058823529,0.0333333333333333,5
"134","Bifenthrin","903M20235_2018","903M20235",126508,2018-06-12,"grab","sediment",1,1,"EPA 8270C","None","ug/g dw",0.000369,"DNQ",0.00022,5e-04,1,"None","","PEL",NA,"SMC",2019-01-14 09:09:31,"true",NA,"903M20235",903,"Northern San Diego","San Diego","Open",33.24759,-116.78551,"true","903M20235_2018-06-12",2018,0.0647,0.01,0.01,"PYR",0.17,0.6,"Unlikely (<TEB)","GoodRL",0.0588235294117647,0.0166666666666667,5
"281","Cyfluthrin","903M20230_2018","903M20230",126454,2018-05-08,"grab","sediment",1,1,"EPA 8270C","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL",NA,"SMC",2019-01-14 09:09:31,"true",NA,"903M20230",903,"Northern San Diego","San Diego","Urban",33.23967,-117.31776,"true","903M20230_2018-05-08",2018,0.0075,0,0.067,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"132","Bifenthrin","903M20214_2018","903M20214",126468,2018-05-08,"grab","sediment",1,1,"EPA 8270C","None","ug/g dw",0.0178,"=",0.00022,5e-04,1,"None","","PEL",NA,"SMC",2019-01-14 09:09:31,"true",NA,"903M20214",903,"Northern San Diego","San Diego","Urban",33.21936,-117.35881,"true","903M20214_2018-05-08",2018,0.0618,0.29,0.01,"PYR",0.17,0.6,"Possible","GoodRL",1.70588235294118,0.483333333333333,3
"131","Bifenthrin","903M20208_2017","903M20208",49422,2017-06-12,"grab","sediment",1,1,"EPA 8270D_NCI","None","ug/g dw",-88,"ND",0.00022,0.00071,1,"None","","PEL",NA,"SMC",2018-06-11 15:23:09,"true",NA,"903M20208",903,"Northern San Diego","San Diego","Agricultural",33.32691,-117.12282,"true","903M20208_2017-06-12",2017,0.0525,0,0.01,"PYR",0.17,0.6,"Unlikely_ND","GoodRL",0,0,6
"639","Fenpropathrin","902M18909_2019","902M18909",127019,2019-05-09,"grab","sediment",1,1,"Pyrethroid Pesticides by GC/MS/MS","Total","ug/g dw",0.0057,"=",0.00059,0.0012,1,"None","","CalScience","SMC_Carlsbad_WMA_2019","SMC",2019-09-18 15:36:32,"false",NA,"902M18909",902,"Northern San Diego","Riverside","Agricultural",33.46607,-117.19794,"true","902M18909_2019-05-09",2019,0.019,0.3,0.06,"PYR",0.11,1.1,"Possible","GoodRL",2.72727272727273,0.272727272727273,3
"466","Deltamethrin","901S45253_2010","901S45253",85032,2010-05-18,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.00523,"=",0.000201,0.000402,1,"None",NA,"DFG-WPCL","RWB9_SMC_2010","SWAMP",2011-07-07 00:00:00,"true",NA,"901S45253",901,"San Juan","Orange","Urban",33.51442,-117.62613,"true","901S45253_2010-05-18",2010,0.0345,0.15,0.01,"PYR",0.02,0.2,"Possible","GoodRL",7.5,0.75,3
"88","Bifenthrin","901S39498_2010","901S39498",84992,2010-05-18,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.00612,"=",0.000275,0.000551,1,"None",NA,"DFG-WPCL","RWB9_SMC_2010","SWAMP",2011-07-07 00:00:00,"true",NA,"901S39498",901,"San Juan","Orange","Urban",33.49038,-117.66532,"true","901S39498_2010-05-18",2010,0.0478,0.13,0.01,"PYR",0.17,0.6,"Unlikely (<TEB)","GoodRL",0.764705882352941,0.216666666666667,5
"290","Cyfluthrin","901S12942_2012","901S12942",84929,2012-06-30,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000181,0.00175,1,"None",NA,"DFG-WPCL","RWB9_SMC_2012","SWAMP",2014-04-02 00:00:00,"true",NA,"901S12942",901,"San Juan","Orange","Urban",33.4779,-117.6785,"true","901S12942_2012-06-30",2012,0.0312,0,0.056,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"86","Bifenthrin","901S11685_2012","901S11685",84873,2012-05-31,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.0262,"=",0.000171,0.000678,1,"H,PJM",NA,"DFG-WPCL","RWB9_SMC_2012","SWAMP",2014-04-02 00:00:00,"true",NA,"901S11685",901,"San Juan","Orange","Urban",33.5099,-117.6348,"true","901S11685_2012-05-31",2012,0.0172,1.52,0.04,"PYR",0.17,0.6,"Likely","GoodRL",8.94117647058824,2.53333333333333,1
"85","Bifenthrin","901S06851_2011","901S06851",121864,2011-05-19,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.00162,"=",0.000332,0.000664,1,"VFDP",NA,"DFG-WPCL","RWB9_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"901S06851",901,"San Juan","Orange","Urban",33.55052,-117.67542,"true","901S06851_2011-05-19",2011,0.0046,0.35,0.14,"PYR",0.17,0.6,"Possible","GoodRL",2.05882352941176,0.583333333333333,3
"84","Bifenthrin","901S06798_2011","901S06798",121828,2011-05-17,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",0.000604,"DNQ",0.000324,0.000649,1,"None",NA,"DFG-WPCL","RWB9_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"901S06798",901,"San Juan","Orange","Open",33.53154,-117.74144,"true","901S06798_2011-05-17",2011,0.0027,0.22,0.24,"PYR",0.17,0.6,"Possible","Poor RL",1.29411764705882,0.366666666666667,3
"291","Cyfluthrin","901S04409_2011","901S04409",121716,2011-05-19,"integrated","sediment",1,1,"WPCL SOP 67","Total","ug/g dw",-88,"ND",0.000281,0.000561,1,"None",NA,"DFG-WPCL","RWB9_SMC_2011","SWAMP",2012-07-12 00:00:00,"true",NA,"901S04409",901,"San Juan","Riverside","Open",33.60347,-117.45314,"true","901S04409_2011-05-19",2011,0.0119,0,0.047,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"54","Bifenthrin","901M14149_2019","901M14149",127107,2019-05-29,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",0.000677,"=",0.00022,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"901M14149",901,"San Juan","Orange","Open",33.56754,-117.74812,"true","901M14149_2019-05-29",2019,0.0011,0.62,0.45,"PYR",0.17,0.6,"Likely","Poor RL",3.64705882352941,1.03333333333333,1
"293","Cyfluthrin","901M14145_2019","901M14145",127788,2019-06-27,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"901M14145",901,"San Juan","Orange","Urban",33.48818,-117.66682,"true","901M14145_2019-06-27",2019,9e-04,0,0.556,"PYR",0.046,0.46,"RL Too High","Tragic RL",0,0,2
"52","Bifenthrin","802S09698_2017","SMC09698",49381,2017-05-31,"grab","sediment",1,1,"EPA 8270D_NCI","None","ug/g dw",0.00423,"=",0.00022,0.00071,1,"None","","PEL",NA,"SMC",2018-06-11 15:26:52,"true",NA,"802S09698",802,"San Jacinto","Riverside","Open",33.7459,-116.70739,"true","802S09698_2017-05-31",2017,0.1353,0.03,0.01,"PYR",0.17,0.6,"Unlikely (<TEB)","GoodRL",0.176470588235294,0.05,5
"78","Bifenthrin","801S03971_2011","SMC03971",20114,2011-07-11,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.004,0.004,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:33,"true",NA,"801S03971",801,"Lower Santa Ana","Orange","Urban",33.67551,-117.82775,"true","801S03971_2011-07-11",2011,0.02,0,0.2,"PYR",0.17,0.6,"Possible or Unlikely","Poor RL",0,0,4
"226","Cyfluthrin","801S02947_2011","SMC02947",20070,2011-07-12,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0049,0.0049,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:27,"true",NA,"801S02947",801,"Lower Santa Ana","Orange","Urban",33.69919,-117.81143,"true","801S02947_2011-07-12",2011,0.0094,0,0.521,"PYR",0.046,0.46,"RL Too High","Tragic RL",0,0,2
"76","Bifenthrin","801M16973_2018","801M16973",126158,2018-06-06,"grab","sediment",1,1,"EPA 8270D_NCI","None","ug/g dw",0.144,"=",0.00022,5e-04,1,"None","","PEL",NA,"SMC",2018-11-30 13:35:32,"true",NA,"801M16973",801,"Middle Santa Ana","Riverside","Urban",33.93481,-117.34516,"true","801M16973_2018-06-06",2018,0.0976,1.48,0.01,"PYR",0.17,0.6,"Likely","GoodRL",8.70588235294118,2.46666666666667,1
"75","Bifenthrin","801M16957_2019","801M16957",129679,2019-05-10,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",0.00117,"=",0.00022,5e-04,1,"None","","PEL","SMC_RCFC_2019","SMC",2020-01-17 21:30:07,"false",NA,"801M16957",801,"Middle Santa Ana","Riverside","Urban",33.85539,-117.3551,"true","801M16957_2019-05-10",2019,0.0571,0.02,0.01,"PYR",0.17,0.6,"Unlikely (<TEB)","GoodRL",0.117647058823529,0.0333333333333333,5
"74","Bifenthrin","801M16932_2017","801M16932",49380,2017-05-31,"grab","sediment",1,1,"EPA 8270D_NCI","None","ug/g dw",6e-04,"DNQ",0.00022,0.00071,1,"J","","PEL",NA,"SMC",2018-06-11 15:23:06,"true",NA,"801M16932",801,"Middle Santa Ana","Riverside","Open",33.94279,-117.32362,"true","801M16932_2017-05-31",2017,0.0542,0.01,0.01,"PYR",0.17,0.6,"Unlikely (<TEB)","GoodRL",0.0588235294117647,0.0166666666666667,5
"491","Deltamethrin","801M12678_2019","801M12678",127351,2019-04-25,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"801M12678",801,"Lower Santa Ana","Orange","Agricultural",33.79594,-117.70467,"true","801M12678_2019-04-25",2019,0.0021,0,0.24,"PYR",0.02,0.2,"RL Too High","Tragic RL",0,0,2
"72","Bifenthrin","801M12649_2013","SMC14211",31082,2013-06-04,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0034,0.0034,1,"DF","M-02","WKL",NA,"SMC",2018-06-11 15:26:57,"true",NA,"801M12649",801,"Lower Santa Ana","Orange","Urban",33.6894,-117.82174,"true","801M12649_2013-06-04",2013,0.00235,0,1.45,"PYR",0.17,0.6,"RL Too High","Tragic RL",0,0,2
"71","Bifenthrin","408M03100_2019","408M03100",128985,2019-05-09,"grab","sediment",1,1,"Pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0082,0.0082,16.46,"D,DF","M-02, M-04, ""None"" 01/Jan/1950 00:00","WKL","SMC_VCWPD_2019","SMC",2019-11-01 11:37:09,"false",NA,"408M03100",408,"Calleguas","Ventura","Agricultural",34.1812,-119.0871,"true","408M03100_2019-05-09",2019,0.0131,0,0.63,"PYR",0.17,0.6,"RL Too High","Tragic RL",0,0,2
