,analytename,SiteYear,stationcode,objectid,sampledate,sampletypecode,matrixname,fieldreplicate,labreplicate,methodname,fractionname,unit,result,resqualcode,mdl,rl,dilutionfactor,qacode,labresultcomments,labagencycode,projectcode,record_origin,origin_lastupdatedate,record_publish,originalid,masterid,huc,smcshed,county,smc_lu,latitude,longitude,probabilistic,SiteDate,Year,OCresult,OrgNorm,RLOC,Class,TEB,LEB,Assessment,RLOC_Eval,TEBq,LEBq,AssessNumeric
34,Bifenthrin,404S35270_2012,404S35270,67579,6/20/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0272,=,0.00014,0.000557,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,NA,404S35270,404,Santa Monica Bay,Los Angeles,Urban,34.13325,-118.70656,TRUE,404S35270_2012-06-20,2012,0.0378,0.72,0.01,PYR,0.17,0.6,Likely,GoodRL,4.235294118,1.2,1
35,Bifenthrin,404S45622_2013,404S45622,104763,6/3/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.00028,=,1.90E-05,7.60E-05,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,NA,404S45622,404,Santa Monica Bay,Los Angeles,Open,34.06149,-118.58534,TRUE,404S45622_2013-06-03,2013,0.0415,0.01,0,PYR,0.17,0.6,Unlikely (<TEB),GoodRL,0.058823529,0.016666667,5
36,Bifenthrin,404S45745_2013,404S45745,67978,6/18/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000166,0.00066,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,NA,404S45745,404,Santa Monica Bay,Los Angeles,Open,34.05902,-118.9339,TRUE,404S45745_2013-06-18,2013,0.1201,0,0.01,PYR,0.17,0.6,Unlikely_ND,GoodRL,0,0,6
37,Bifenthrin,404S44210_2013,404S44210,104589,6/20/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.00539,=,0.000478,0.0019,5,"D,PJM",NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,NA,404S44210,404,Santa Monica Bay,Los Angeles,Urban,34.14301,-118.75779,TRUE,404S44210_2013-06-20,2013,0.0743,0.07,0.03,PYR,0.17,0.6,Unlikely (<TEB),GoodRL,0.411764706,0.116666667,5
38,Bifenthrin,404S44532_2013,404S44532,67804,6/4/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.00047,=,3.60E-05,0.000142,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,NA,404S44532,404,Santa Monica Bay,Los Angeles,Open,34.12682,-118.79617,TRUE,404S44532_2013-06-04,2013,0.0462,0.01,0,PYR,0.17,0.6,Unlikely (<TEB),GoodRL,0.058823529,0.016666667,5
39,Bifenthrin,405CE0280_2018,405CE0280,130094,7/2/2018,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00022,5.00E-04,1,None,,PEL,NA,SMC,4/29/2020 9:23,FALSE,NA,405CE0280,405,San Gabriel,Los Angeles,Open,34.23041,-117.74981,TRUE,405CE0280_2018-07-02,2018,0.0012,0,0.42,PYR,0.17,0.6,Possible or Unlikely,Poor RL,0,0,4
40,Bifenthrin,408BA0036_2017,SMC00036,49018,4/27/2017,integrated,sediment,1,1,Pyrethroids_Water GCMS-SIM,Total,ug/g dw,0.006418219,=,0.00084,0.00084,1,DF,"M-02, ""None"" 01/Jan/1950 00:00",WKL,NA,SMC,6/11/2018 15:25,TRUE,NA,408BA0036,408,Calleguas,Ventura,Urban,34.21502,-118.87899,TRUE,408BA0036_2017-04-27,2017,0.0438,0.15,0.02,PYR,0.17,0.6,Unlikely (<TEB),GoodRL,0.882352941,0.25,5
41,Bifenthrin,408BA0036_2018,SMC00036,125822,6/12/2018,integrated,sediment,1,1,Pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.048,0.048,50,"D,DF,DG","M-02, M-04, ""None"" 01/Jan/1950 00:00",WKL,NA,SMC,10/30/2018 7:19,TRUE,NA,408BA0036,408,Calleguas,Ventura,Urban,34.21502,-118.87899,TRUE,408BA0036_2018-06-12,2018,0.0103,0,4.66,PYR,0.17,0.6,RL Too High,Tragic RL,0,0,2
42,Bifenthrin,408BA0660_2018,SMC00660,125825,6/12/2018,integrated,sediment,1,1,Pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.00094,0.00094,1,DF,"M-02, ""None"" 01/Jan/1950 00:00",WKL,NA,SMC,10/30/2018 7:19,TRUE,NA,408BA0660,408,Calleguas,Ventura,Agricultural,34.26784,-118.93781,TRUE,408BA0660_2018-06-12,2018,0.000267,0,3.52,PYR,0.17,0.6,RL Too High,Tragic RL,0,0,2
43,Bifenthrin,408BA0836_2017,SMC00836,49121,6/21/2017,integrated,sediment,1,1,Pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.00091,0.00091,1,DF,"M-02, ""None"" 01/Jan/1950 00:00",WKL,NA,SMC,6/11/2018 15:25,TRUE,NA,408BA0836,408,Calleguas,Ventura,Agricultural,34.19071,-119.00511,TRUE,408BA0836_2017-06-21,2017,0.00186,0,0.49,PYR,0.17,0.6,Possible or Unlikely,Poor RL,0,0,4
44,Bifenthrin,404S35418_2012,404S35418,104483,6/25/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.000685,=,8.60E-05,0.000341,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,NA,404S35418,404,Santa Monica Bay,Los Angeles,Open,34.08262,-118.70857,TRUE,404S35418_2012-06-25,2012,0.01,0.07,0.03,PYR,0.17,0.6,Unlikely (<TEB),GoodRL,0.411764706,0.116666667,5
45,Bifenthrin,404S16232_2011,404S16232,103591,6/9/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0012,=,0.000334,0.000668,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,NA,404S16232,404,Santa Monica Bay,Los Angeles,Urban,34.12549,-118.75317,TRUE,404S16232_2011-06-09,2011,0.0039,0.31,0.17,PYR,0.17,0.6,Possible,GoodRL,1.823529412,0.516666667,3
46,Bifenthrin,404S17016_2013,404S17016,103663,6/5/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.000109,DNQ,4.90E-05,0.000195,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,NA,404S17016,404,Santa Monica Bay,Los Angeles,Open,34.1183,-118.78057,TRUE,404S17016_2013-06-05,2013,0.0174,0.01,0.01,PYR,0.17,0.6,Unlikely (<TEB),GoodRL,0.058823529,0.016666667,5
47,Bifenthrin,404S18666_2011,404S18666,66875,6/15/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.00597,=,0.000327,0.000653,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,NA,404S18666,404,Santa Monica Bay,Ventura,Urban,34.17206,-118.76375,TRUE,404S18666_2011-06-15,2011,0.004,1.49,0.16,PYR,0.17,0.6,Likely,GoodRL,8.764705882,2.483333333,1
48,Bifenthrin,404S23297_2013,404S23297,103868,6/19/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,8.80E-05,0.00035,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,NA,404S23297,404,Santa Monica Bay,Los Angeles,Open,34.05006,-118.58103,TRUE,404S23297_2013-06-19,2013,0.01,0,0.03,PYR,0.17,0.6,Unlikely_ND,GoodRL,0,0,6
49,Bifenthrin,404S25298_2012,404S25298,103947,6/20/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.000334,=,8.30E-05,0.000331,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,NA,404S25298,404,Santa Monica Bay,Los Angeles,Open,34.04553,-118.68732,TRUE,404S25298_2012-06-20,2012,0.0368,0.01,0.01,PYR,0.17,0.6,Unlikely (<TEB),GoodRL,0.058823529,0.016666667,5
50,Bifenthrin,404S48200_2013,404S48200,68024,6/18/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.000443,DNQ,0.000209,0.000828,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,NA,404S48200,404,Santa Monica Bay,Los Angeles,Open,34.07772,-118.92395,TRUE,404S48200_2013-06-18,2013,0.1368,0,0.01,PYR,0.17,0.6,Unlikely_ND,GoodRL,0,0,6
51,Bifenthrin,405CE0280_2017,405CE0280,130030,7/19/2017,grab,sediment,1,1,EPA 8270C,Total,ug/g dw,-88,ND,0.00022,0.00071,1,None,,PEL,NA,SMC,4/29/2020 9:23,FALSE,NA,405CE0280,405,San Gabriel,Los Angeles,Open,34.23041,-117.74981,TRUE,405CE0280_2017-07-19,2017,0.0041,0,0.17,PYR,0.17,0.6,Unlikely_ND,GoodRL,0,0,6
52,Bifenthrin,802S09698_2017,SMC09698,49381,5/31/2017,grab,sediment,1,1,EPA 8270D_NCI,None,ug/g dw,0.00423,=,0.00022,0.00071,1,None,,PEL,NA,SMC,6/11/2018 15:26,TRUE,NA,802S09698,802,San Jacinto,Riverside,Open,33.7459,-116.70739,TRUE,802S09698_2017-05-31,2017,0.1353,0.03,0.01,PYR,0.17,0.6,Unlikely (<TEB),GoodRL,0.176470588,0.05,5
53,Bifenthrin,901M14145_2019,901M14145,127787,6/27/2019,grab,sediment,1,1,EPA 8270D_NCI,Total,ug/g dw,-88,ND,0.00022,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,NA,901M14145,901,San Juan,Orange,Urban,33.48818,-117.66682,TRUE,901M14145_2019-06-27,2019,9.00E-04,0,0.56,PYR,0.17,0.6,Possible or Unlikely,Poor RL,0,0,4
54,Bifenthrin,901M14149_2019,901M14149,127107,5/29/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,0.000677,=,0.00022,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,NA,901M14149,901,San Juan,Orange,Open,33.56754,-117.74812,TRUE,901M14149_2019-05-29,2019,0.0011,0.62,0.45,PYR,0.17,0.6,Likely,Poor RL,3.647058824,1.033333333,1
55,Bifenthrin,901S04409_2011,901S04409,121715,5/19/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000351,0.000702,1,None,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,NA,901S04409,901,San Juan,Riverside,Open,33.60347,-117.45314,TRUE,901S04409_2011-05-19,2011,0.0119,0,0.06,PYR,0.17,0.6,Unlikely_ND,GoodRL,0,0,6
56,Bifenthrin,404S32468_2012,404S32468,104262,6/26/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.00025,DNQ,9.80E-05,0.000388,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,NA,404S32468,404,Santa Monica Bay,Los Angeles,Open,34.0999,-118.72304,TRUE,404S32468_2012-06-26,2012,0.0173,0.01,0.02,PYR,0.17,0.6,Unlikely (<TEB),GoodRL,0.058823529,0.016666667,5
57,Bifenthrin,404S34120_2012,404S34120,104326,6/21/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0327,=,0.000105,0.000417,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,NA,404S34120,404,Santa Monica Bay,Los Angeles,Urban,34.16558,-118.78918,TRUE,404S34120_2012-06-21,2012,0.0163,2.01,0.03,PYR,0.17,0.6,Likely,GoodRL,11.82352941,3.35,1
