,analytename,SiteYear,stationcode,objectid,sampledate,sampletypecode,matrixname,fieldreplicate,labreplicate,methodname,fractionname,unit,result,resqualcode,mdl,rl,dilutionfactor,qacode,labresultcomments,labagencycode,projectcode,record_origin,origin_lastupdatedate,record_publish,masterid,huc,smcshed,smc_lu,latitude,longitude,SiteDate,Year,OCresult,OrgNorm,Class,LEB,TEB,Assessment,PyrQuotientLEB,PyrQuotientTEB,RLOC,RLEvalLEB,RLEvalTEB
27,Bifenthrin,404M07360_2017,404M07360,49754,6/8/2017,grab,sediment,1,1,EPA 8270C,Total,ug/g dw,0.03716,=,0.00022,0.00071,1,None,,PEL,NA,SMC,6/11/2018 15:23,TRUE,404M07360,404,Santa Monica Bay,Urban,34.15459,-118.75848,404M07360_2017-06-08,2017,0.0754,0.492838196,PYR,0.6,0.17,Possible,0.821396994,2.899048213,0.009416446,ok,ok
40,Bifenthrin,404S37670_2013,404S37670,104539,6/6/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.00083,=,4.70E-05,0.000185,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S37670,404,Santa Monica Bay,Urban,34.14074,-118.70117,404S37670_2013-06-06,2013,0.0036,0.230555556,PYR,0.6,0.17,Possible,0.384259259,1.35620915,0.051388889,ok,ok
63,Bifenthrin,404M07372_2019,404M07372,129483,7/9/2019,grab,sediment,1,1,EPA 8270D_NCI,Total,ug/g dw,0.0162,=,0.00022,5.00E-04,1,None,,PEL,SMC_LACFCD_2019,SMC,1/17/2020 21:17,FALSE,404M07372,404,Santa Monica Bay,Urban,34.13604,-118.75743,404M07372_2019-07-09,2019,0.042,0.385714286,PYR,0.6,0.17,Possible,0.642857143,2.268907563,0.011904762,ok,ok
64,Bifenthrin,901S06851_2011,901S06851,121864,5/19/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.00162,=,0.000332,0.000664,1,VFDP,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,901S06851,901,San Juan,Urban,33.55052,-117.67542,901S06851_2011-05-19,2011,0.0046,0.352173913,PYR,0.6,0.17,Possible,0.586956522,2.071611253,0.144347826,ok,ok
82,Bifenthrin,904S02201_2010,904S02201,122867,5/19/2010,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0399,=,0.000439,0.000879,1,None,NA,DFG-WPCL,RWB9_SMC_2010,SWAMP,7/7/2011 0:00,TRUE,904S02201,904,Central San Diego,Urban,33.17979,-117.33735,904S02201_2010-05-19,2010,0.0712,0.560393258,PYR,0.6,0.17,Possible,0.933988764,3.296430932,0.012345506,ok,ok
87,Bifenthrin,906S02902_2011,906S02902,123344,8/3/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0175,=,0.000109,0.000434,1,None,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,906S02902,906,Central San Diego,Urban,32.949075,-117.064432,906S02902_2011-08-03,2011,0.0881,0.198637911,PYR,0.6,0.17,Possible,0.331063186,1.168458303,0.00492622,ok,ok
96,Bifenthrin,904CBSAM5_2010,904S02585,122934,5/19/2010,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0136,=,0.000356,0.000712,1,None,NA,DFG-WPCL,RWB9_SMC_2010,SWAMP,7/7/2011 0:00,TRUE,904CBSAM5,904,Central San Diego,Urban,33.09086,-117.2447,904CBSAM5_2010-05-19,2010,0.07,0.194285714,PYR,0.6,0.17,Possible,0.323809524,1.142857143,0.010171429,ok,ok
110,Bifenthrin,404S14952_2011,404S14952,103515,6/15/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0147,=,0.000647,0.00129,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,404S14952,404,Santa Monica Bay,Urban,34.14268,-118.70089,404S14952_2011-06-15,2011,0.0618,0.237864078,PYR,0.6,0.17,Possible,0.396440129,1.399200457,0.020873786,ok,ok
173,Cyfluthrin,404M07360_2017,404M07360,49758,6/8/2017,grab,sediment,1,1,EPA 8270C,Total,ug/g dw,0.00438,=,0.00025,8.00E-04,1,None,,PEL,NA,SMC,6/11/2018 15:23,TRUE,404M07360,404,Santa Monica Bay,Urban,34.15459,-118.75848,404M07360_2017-06-08,2017,0.0754,0.058090186,PYR,0.46,0.046,Possible,0.126283012,1.262830123,0.01061008,ok,ok
233,Cyfluthrin,801M16973_2018,801M16973,126169,6/6/2018,grab,sediment,1,1,EPA 8270D_NCI,Total,ug/g dw,0.0113,=,0.00025,5.00E-04,1,None,,PEL,NA,SMC,11/30/2018 13:35,TRUE,801M16973,801,Middle Santa Ana,Urban,33.93481,-117.34516,801M16973_2018-06-06,2018,0.0976,0.115778689,PYR,0.46,0.046,Possible,0.251692801,2.516928011,0.005122951,ok,ok
357,Deltamethrin,404M07360_2017,404M07360,49770,6/8/2017,grab,sediment,1,1,EPA 8270C,Total,ug/g dw,0.00315,=,0.00029,0.00092,1,None,,PEL,NA,SMC,6/11/2018 15:23,TRUE,404M07360,404,Santa Monica Bay,Urban,34.15459,-118.75848,404M07360_2017-06-08,2017,0.0754,0.041777188,PYR,0.2,0.02,Possible,0.208885942,2.088859416,0.012201592,ok,ok
376,Deltamethrin,901S45253_2010,901S45253,85032,5/18/2010,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.00523,=,0.000201,0.000402,1,None,NA,DFG-WPCL,RWB9_SMC_2010,SWAMP,7/7/2011 0:00,TRUE,901S45253,901,San Juan,Urban,33.51442,-117.62613,901S45253_2010-05-18,2010,0.0345,0.151594203,PYR,0.2,0.02,Possible,0.757971014,7.579710145,0.011652174,ok,ok
543,Fenpropathrin,404M07372_2019,404M07372,129532,7/9/2019,grab,sediment,1,1,EPA 8270D_NCI,Total,ug/g dw,0.00882,=,0.00021,5.00E-04,1,None,,PEL,SMC_LACFCD_2019,SMC,1/17/2020 21:17,FALSE,404M07372,404,Santa Monica Bay,Urban,34.13604,-118.75743,404M07372_2019-07-09,2019,0.042,0.21,PYR,1.1,0.11,Possible,0.190909091,1.909090909,0.011904762,ok,ok
559,Fenpropathrin,902M18909_2019,902M18909,127019,5/9/2019,grab,sediment,1,1,Pyrethroid Pesticides by GC/MS/MS,Total,ug/g dw,0.0057,=,0.00059,0.0012,1,None,,CalScience,SMC_Carlsbad_WMA_2019,SMC,9/18/2019 15:36,FALSE,902M18909,902,Northern San Diego,SMC_out,33.46607,-117.19794,902M18909_2019-05-09,2019,0.019,0.3,PYR,1.1,0.11,Possible,0.272727273,2.727272727,0.063157895,ok,ok
612,Permethrin,404S31468_2012,404S31468,104218,6/19/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0488,=,0.00233,0.00601,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S31468,404,Santa Monica Bay,Urban,34.16874,-118.76171,404S31468_2012-06-19,2012,0.1041,0.468780019,PYR,9.3,0.42,Possible,0.050406454,1.116142903,0.057732949,ok,ok
614,Permethrin,404S34120_2012,404S34120,67500,6/21/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.00963,=,0.000806,0.00208,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S34120,404,Santa Monica Bay,Urban,34.16558,-118.78918,404S34120_2012-06-21,2012,0.0163,0.590797546,PYR,9.3,0.42,Possible,0.063526618,1.406660824,0.127607362,ok,ok
656,Permethrin,907S11430_2012,907S11430,123783,7/18/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.01223,=,0.000688,0.00178,1,None,NA,DFG-WPCL,RWB9_SMC_2012,SWAMP,4/2/2014 0:00,TRUE,907S11430,907,Mission Bay and San Diego River,Urban,32.848374,-116.860048,907S11430_2012-07-18,2012,0.0177,0.690960452,PYR,9.3,0.42,Possible,0.074296823,1.645143933,0.100564972,ok,ok
690,Permethrin,404S35270_2012,404S35270,104418,6/20/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0413,=,0.00108,0.00278,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S35270,404,Santa Monica Bay,Urban,34.13325,-118.70656,404S35270_2012-06-20,2012,0.0378,1.092592593,PYR,9.3,0.42,Possible,0.117483074,2.601410935,0.073544974,ok,ok
697,Permethrin,901S11685_2012,901S11685,121939,5/31/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.02555,=,0.00131,0.00339,1,"H,PJM",NA,DFG-WPCL,RWB9_SMC_2012,SWAMP,4/2/2014 0:00,TRUE,901S11685,901,San Juan,Urban,33.5099,-117.6348,901S11685_2012-05-31,2012,0.0172,1.485465116,PYR,9.3,0.42,Possible,0.159727432,3.536821705,0.197093023,ok,ok
700,Permethrin,403S01136_2011,403S01136,98540,6/13/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0162,ND,0.00113,0.00227,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,403S01136,403,Santa Clara,Open,34.62762,-118.74403,403S01136_2011-06-13,2011,0.0093,1.741935484,PYR,9.3,0.42,Possible,0.187304891,4.147465438,0.244086022,ok,ok
2,Allethrin,SMC09118_2013,SMC09118,30727,5/22/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0038,0.0038,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC09118,801,Lower Santa Ana,Urban,33.80876,-117.86259,SMC09118_2013-05-22,2013,0.00474,0,PYR,2.9,0.29,Possible or Unlikely,0,0,0.801687764,ok,BAD RL
3,Allethrin,SMC00206_2019,SMC00206,127235,6/4/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00028,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,SMC00206,901,San Juan,Urban,33.54359,-117.65963,SMC00206_2019-06-04,2019,9.00E-04,0,PYR,2.9,0.29,Possible or Unlikely,0,0,0.555555556,ok,BAD RL
4,Allethrin,801M12649_2013,SMC14211,31081,6/4/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0034,0.0034,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,801M12649,801,Lower Santa Ana,Urban,33.6894,-117.82174,801M12649_2013-06-04,2013,0.00235,0,PYR,2.9,0.29,Possible or Unlikely,0,0,1.446808511,ok,BAD RL
5,Allethrin,901M14149_2019,901M14149,127110,5/29/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00028,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,901M14149,901,San Juan,Open,33.56754,-117.74812,901M14149_2019-05-29,2019,0.0011,0,PYR,2.9,0.29,Possible or Unlikely,0,0,0.454545455,ok,BAD RL
6,Allethrin,SMC00873_2019,SMC00873,126992,5/10/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00028,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,SMC00873,901,San Juan,Urban,33.59849,-117.62668,SMC00873_2019-05-10,2019,3.00E-04,0,PYR,2.9,0.29,Possible or Unlikely,0,0,1.666666667,ok,BAD RL
8,Allethrin,SMC01923_2011,SMC01923,20053,7/12/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0035,0.0035,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC01923,801,Lower Santa Ana,Urban,33.67221,-117.78872,SMC01923_2011-07-12,2011,0.0015,0,PYR,2.9,0.29,Possible or Unlikely,0,0,2.333333333,ok,BAD RL
9,Allethrin,SMC00766_2011,SMC00766,20098,7/11/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0048,0.0048,1,None,,WKL,NA,SMC,6/11/2018 15:25,TRUE,SMC00766,801,Lower Santa Ana,Urban,33.65718,-117.83739,SMC00766_2011-07-11,2011,0.012,0,PYR,2.9,0.29,Possible or Unlikely,0,0,0.4,ok,BAD RL
12,Allethrin,901M14145_2019,901M14145,127770,6/27/2019,grab,sediment,1,1,EPA 8270D_NCI,Total,ug/g dw,-88,ND,0.00028,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,901M14145,901,San Juan,Urban,33.48818,-117.66682,901M14145_2019-06-27,2019,9.00E-04,0,PYR,2.9,0.29,Possible or Unlikely,0,0,0.555555556,ok,BAD RL
13,Allethrin,801S02947_2011,SMC02947,20068,7/12/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0049,0.0049,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,801S02947,801,Lower Santa Ana,Urban,33.69919,-117.81143,801S02947_2011-07-12,2011,0.0094,0,PYR,2.9,0.29,Possible or Unlikely,0,0,0.521276596,ok,BAD RL
14,Allethrin,SMC09091_2013,SMC09091,31712,6/27/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0036,0.0036,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC09091,801,Lower Santa Ana,Urban,33.71335,-117.79574,SMC09091_2013-06-27,2013,0.00505,0,PYR,2.9,0.29,Possible or Unlikely,0,0,0.712871287,ok,BAD RL
15,Allethrin,SMC13214_2013,SMC13214,30739,5/22/2013,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.004,0.004,1,DF,M-02,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC13214,801,Lower Santa Ana,Urban,33.80453,-117.87242,SMC13214_2013-05-22,2013,0.00379,0,PYR,2.9,0.29,Possible or Unlikely,0,0,1.055408971,ok,BAD RL
16,Allethrin,SMC02206_2011,SMC02206,20083,7/19/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0041,0.0041,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,SMC02206,801,Lower Santa Ana,Urban,33.87098,-117.85002,SMC02206_2011-07-19,2011,0.0033,0,PYR,2.9,0.29,Possible or Unlikely,0,0,1.242424242,ok,BAD RL
23,Bifenthrin,801S02947_2011,SMC02947,20069,7/12/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0049,0.0049,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,801S02947,801,Lower Santa Ana,Urban,33.69919,-117.81143,801S02947_2011-07-12,2011,0.0094,0,PYR,0.6,0.17,Possible or Unlikely,0,0,0.521276596,ok,BAD RL
33,Bifenthrin,903S02145_2011,903S02145,85412,8/3/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,8.00E-05,0.000316,1,None,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,903S02145,903,Northern San Diego,Agricultural,33.269344,-117.031468,903S02145_2011-08-03,2011,0.0012,0,PYR,0.6,0.17,Possible or Unlikely,0,0,0.263333333,ok,BAD RL
39,Bifenthrin,404S16232_2011,404S16232,103591,6/9/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.0012,=,0.000334,0.000668,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,404S16232,404,Santa Monica Bay,Urban,34.12549,-118.75317,404S16232_2011-06-09,2011,0.0039,0.307692308,PYR,0.6,0.17,Possible or Unlikely,0.512820513,1.809954751,0.171282051,ok,BAD RL
54,Bifenthrin,801M12678_2019,801M12678,127313,4/25/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00022,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,801M12678,801,Lower Santa Ana,Agricultural,33.79594,-117.70467,801M12678_2019-04-25,2019,0.0021,0,PYR,0.6,0.17,Possible or Unlikely,0,0,0.238095238,ok,BAD RL
68,Bifenthrin,SMC00766_2011,SMC00766,20099,7/11/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.0048,0.0048,1,None,,WKL,NA,SMC,6/11/2018 15:25,TRUE,SMC00766,801,Lower Santa Ana,Urban,33.65718,-117.83739,SMC00766_2011-07-11,2011,0.012,0,PYR,0.6,0.17,Possible or Unlikely,0,0,0.4,ok,BAD RL
71,Bifenthrin,901S06798_2011,901S06798,121828,5/17/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.000604,DNQ,0.000324,0.000649,1,None,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,901S06798,901,San Juan,Open,33.53154,-117.74144,901S06798_2011-05-17,2011,0.0027,0.223703704,PYR,0.6,0.17,Possible or Unlikely,0.372839506,1.315904139,0.24037037,ok,BAD RL
79,Bifenthrin,801S03971_2011,SMC03971,20114,7/11/2011,grab,sediment,1,1,pyrethroids_Water GCMS-SIM,Total,ug/g dw,-88,ND,0.004,0.004,1,None,,WKL,NA,SMC,6/11/2018 15:26,TRUE,801S03971,801,Lower Santa Ana,Urban,33.67551,-117.82775,801S03971_2011-07-11,2011,0.02,0,PYR,0.6,0.17,Possible or Unlikely,0,0,0.2,ok,BAD RL
80,Bifenthrin,901M14145_2019,901M14145,127787,6/27/2019,grab,sediment,1,1,EPA 8270D_NCI,Total,ug/g dw,-88,ND,0.00022,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,901M14145,901,San Juan,Urban,33.48818,-117.66682,901M14145_2019-06-27,2019,9.00E-04,0,PYR,0.6,0.17,Possible or Unlikely,0,0,0.555555556,ok,BAD RL
89,Bifenthrin,SMC00206_2019,SMC00206,127247,6/4/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,-88,ND,0.00022,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,SMC00206,901,San Juan,Urban,33.54359,-117.65963,SMC00206_2019-06-04,2019,9.00E-04,0,PYR,0.6,0.17,Possible or Unlikely,0,0,0.555555556,ok,BAD RL
93,Bifenthrin,901M14149_2019,901M14149,127107,5/29/2019,grab,sediment,1,1,EPA 8270D,Total,ug/g dw,0.000677,=,0.00022,5.00E-04,1,None,,PEL,SMC_OCPW_2019,SMC,9/27/2019 15:44,FALSE,901M14149,901,San Juan,Open,33.56754,-117.74812,901M14149_2019-05-29,2019,0.0011,0.615454545,PYR,0.6,0.17,Possible or Unlikely,1.025757576,3.620320856,0.454545455,ok,BAD RL
105,Bifenthrin,403S39062_2013,403S39062,62845,6/25/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.257,=,0.00111,0.0044,10,"D,PJM",NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S39062,403,Santa Clara,Agricultural,34.4323,-118.61744,403S39062_2013-06-25,2013,0.0083,30.96385542,PYR,0.6,0.17,Possible or Unlikely,51.6064257,182.140326,0.530120482,ok,BAD RL
150,Cyfluthrin,403S02363_2011,403S02363,98839,6/16/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000262,0.000523,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,403S02363,403,Santa Clara,Open,34.55885,-119.15456,403S02363_2011-06-16,2011,0.0058,0,PYR,0.46,0.046,Possible or Unlikely,0,0,0.090172414,ok,BAD RL
152,Cyfluthrin,403S07227_2012,403S07227,99425,6/27/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000171,0.00166,1,None,NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,403S07227,403,Santa Clara,Open,34.56208,-119.16664,403S07227_2012-06-27,2012,0.0124,0,PYR,0.46,0.046,Possible or Unlikely,0,0,0.133870968,ok,BAD RL
153,Cyfluthrin,907M23385_2019,907M23385,129056,6/25/2019,grab,sediment,1,1,EPA 8270D_NCI,Total,ug/g dw,-88,ND,0.00025,5.00E-04,1,None,,PEL,SMC_San_Diego_River_WMA_2019,SMC,1/17/2020 20:27,FALSE,907M23385,907,Mission Bay and San Diego River,Urban,32.81067,-117.07466,907M23385_2019-06-25,2019,0.0092,0,PYR,0.46,0.046,Possible or Unlikely,0,0,0.054347826,ok,BAD RL
154,Cyfluthrin,403S06283_2012,403S06283,99180,6/13/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000291,0.00282,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,403S06283,403,Santa Clara,Open,34.69386,-118.86079,403S06283_2012-06-13,2012,0.0159,0,PYR,0.46,0.046,Possible or Unlikely,0,0,0.177358491,ok,BAD RL
155,Cyfluthrin,403S06139_2012,403S06139,99140,6/27/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000175,0.00169,1,None,NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,403S06139,403,Santa Clara,Open,34.55464,-119.2405,403S06139_2012-06-27,2012,0.0155,0,PYR,0.46,0.046,Possible or Unlikely,0,0,0.109032258,ok,BAD RL
156,Cyfluthrin,404S34230_2013,404S34230,67539,6/19/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000451,0.00437,1,PG,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S34230,404,Santa Monica Bay,Open,34.06909,-118.58678,404S34230_2013-06-19,2013,0.0843,0,PYR,0.46,0.046,Possible or Unlikely,0,0,0.051838671,ok,BAD RL
